"","Date.Time","Tmp_H1","Tmp_H2"
"4",2018-08-09 22:00:00,"29.8","29.8"
"5",2018-08-09 22:05:00,"29.9","30.0"
"6",2018-08-09 22:10:00,"29.8","29.9"
"7",2018-08-09 22:15:00,"29.8","29.7"
"8",2018-08-09 22:20:00,"29.9","29.8"
"9",2018-08-09 22:25:00,"29.8","30.0"
"10",2018-08-09 22:30:00,"29.8","29.8"
"11",2018-08-09 22:35:00,"30.0","29.7"
"12",2018-08-09 22:40:00,"29.8","29.9"
"13",2018-08-09 22:45:00,"29.9","30.0"
"14",2018-08-09 22:50:00,"30.0","29.8"
"15",2018-08-09 22:55:00,"29.8","29.8"
"16",2018-08-09 23:00:00,"29.8","30.0"
"17",2018-08-09 23:05:00,"30.0","29.9"
"18",2018-08-09 23:10:00,"29.8","29.7"
"19",2018-08-09 23:15:00,"29.8","29.8"
"20",2018-08-09 23:20:00,"30.0","30.0"
"21",2018-08-09 23:25:00,"29.8","29.8"
"22",2018-08-09 23:30:00,"29.7","29.7"
"23",2018-08-09 23:35:00,"30.0","29.9"
"24",2018-08-09 23:40:00,"29.8","30.0"
"25",2018-08-09 23:45:00,"29.8","29.8"
"26",2018-08-09 23:50:00,"29.9","29.8"
"27",2018-08-09 23:55:00,"29.8","29.9"
"28",2018-08-10 00:00:00,"29.8","29.8"
"29",2018-08-10 00:05:00,"29.9","29.8"
"30",2018-08-10 00:10:00,"29.8","29.9"
"31",2018-08-10 00:15:00,"29.8","29.8"
"32",2018-08-10 00:20:00,"29.9","29.8"
"33",2018-08-10 00:25:00,"29.8","30.0"
"34",2018-08-10 00:30:00,"29.9","29.8"
"35",2018-08-10 00:35:00,"29.9","29.8"
"36",2018-08-10 00:40:00,"29.8","30.0"
"37",2018-08-10 00:45:00,"30.0","30.0"
"38",2018-08-10 00:50:00,"29.9","29.8"
"39",2018-08-10 00:55:00,"29.8","29.8"
"40",2018-08-10 01:00:00,"30.0","30.0"
"41",2018-08-10 01:05:00,"30.0","29.9"
"42",2018-08-10 01:10:00,"29.8","29.7"
"43",2018-08-10 01:15:00,"29.9","29.8"
"44",2018-08-10 01:20:00,"30.0","29.9"
"45",2018-08-10 01:25:00,"29.8","29.8"
"46",2018-08-10 01:30:00,"29.8","29.8"
"47",2018-08-10 01:35:00,"30.0","29.9"
"48",2018-08-10 01:40:00,"29.9","29.8"
"49",2018-08-10 01:45:00,"29.7","29.8"
"50",2018-08-10 01:50:00,"29.9","29.9"
"51",2018-08-10 01:55:00,"29.9","29.8"
"52",2018-08-10 02:00:00,"29.8","29.8"
"53",2018-08-10 02:05:00,"29.9","30.0"
"54",2018-08-10 02:10:00,"29.8","29.8"
"55",2018-08-10 02:15:00,"29.8","29.8"
"56",2018-08-10 02:20:00,"29.9","30.0"
"57",2018-08-10 02:25:00,"29.8","30.0"
"58",2018-08-10 02:30:00,"29.8","29.8"
"59",2018-08-10 02:35:00,"30.0","29.8"
"60",2018-08-10 02:40:00,"29.8","30.0"
"61",2018-08-10 02:45:00,"29.7","29.9"
"62",2018-08-10 02:50:00,"29.8","29.7"
"63",2018-08-10 02:55:00,"30.0","29.8"
"64",2018-08-10 03:00:00,"29.8","29.9"
"65",2018-08-10 03:05:00,"29.8","29.8"
"66",2018-08-10 03:10:00,"29.9","29.9"
"67",2018-08-10 03:15:00,"29.8","30.0"
"68",2018-08-10 03:20:00,"29.9","29.8"
"69",2018-08-10 03:25:00,"29.9","29.8"
"70",2018-08-10 03:30:00,"29.7","29.9"
"71",2018-08-10 03:35:00,"29.6","29.8"
"72",2018-08-10 03:40:00,"29.7","29.8"
"73",2018-08-10 03:45:00,"29.7","30.0"
"74",2018-08-10 03:50:00,"29.8","29.8"
"75",2018-08-10 03:55:00,"29.9","29.7"
"76",2018-08-10 04:00:00,"29.7","29.9"
"77",2018-08-10 04:05:00,"29.8","29.8"
"78",2018-08-10 04:10:00,"29.9","29.8"
"79",2018-08-10 04:15:00,"29.8","30.0"
"80",2018-08-10 04:20:00,"29.8","29.9"
"81",2018-08-10 04:25:00,"29.9","29.7"
"82",2018-08-10 04:30:00,"29.8","29.9"
"83",2018-08-10 04:35:00,"29.7","30.0"
"84",2018-08-10 04:40:00,"29.8","29.8"
"85",2018-08-10 04:45:00,"29.9","29.8"
