Date,Plug #,Treatment,Time
20180723,2182,Hot 1,13:51
20180723,1071,Ambient 1,13:54
20180723,1068,Hot 2,14:06
20180723,1080,Ambient 2,14:09
20180723,1069,Hot 1,14:13
20180723,1098,Ambient 1,14:16
20180723,1092,Hot 2,14:19
20180723,1079,Ambient 2,14:23
20180723,1097,Hot 1,14:26
20180723,1084,Ambient 1,14:28
20180723,1085,Hot 2,14:32
20180723,1075,Ambient 2,14:37
20180723,1090,Hot 1,14:39
20180723,1081,Ambient 1,14:44
20180723,1088,Ambient 2,14:46
20180723,1095,Hot 2,14:48
20180723,1093,Hot 1,14:56
20180723,1082,Ambient 1,14:59
20180723,1096,Hot 2,15:03
20180723,1083,Ambient 2,15:10
20180723,1070,Hot 1,15:17
20180723,1078,Ambient 1,15:19
20180723,1091,Hot 2,15:23
20180723,1077,Ambient 2,15:31
20180723,1067,Hot 1,15:39
20180723,1086,Ambient 1,15:41
20180723,1073,Hot 2,15:44
20180723,1072,Ambient 2,15:46
20180723,1094,Hot 1,15:49
20180723,1087,Ambient 1,15:54
20180723,1057,Hot 2,15:59
20180723,1076,Ambient 2,16:01
20180723,1259,Hot 1,16:04
20180723,1271,Ambient 1,16:06
20180723,2066,Hot 2,16:10
20180723,2009,Ambient 2,16:13
20180723,2023,Hot 1,16:18
20180723,2076,Ambient 1,16:20
20180723,1074,Hot 2,16:24
20180723,2005,Ambient 2,16:27
20180723,1278,Hot 1,16:28
